"","clust","label","nsnp","min_p","fisher"
"1",14,"mean cell volume",3,6.048e-16,2.18133151117208e-14
"2",2,"rheumatoid arthritis",23,9.4e-12,3.35855949409101e-14
"3",14,"mean cell haemoglobin",3,3.415e-15,4.36218305345579e-14
"4",10,"height",3,9.8e-10,4.29430492374376e-12
"5",14,"red blood cell count",3,5.396e-14,7.52733157706137e-12
"6",2,"inflammatory bowel disease",25,1.296e-15,6.44632623189354e-11
"7",10,"serum creatinine egfrcrea",3,8.6e-12,1.48327904956579e-10
"8",2,"hdl cholesterol",15,1.245e-16,2.57471214982635e-10
"9",2,"height",15,2.7e-06,7.82623611479047e-09
"10",2,"platelet count",15,1.753e-05,3.83008845515118e-08
"11",1,"schizophrenia",7,6.978e-05,6.60811512562608e-08
"12",2,"crohns disease",25,7.408e-10,1.01221578384382e-07
"13",6,"coronary heart disease",5,1.6e-07,1.34946851588942e-07
"14",2,"mean cell haemoglobin",15,0.0001288,7.54891803663585e-07
"15",10,"extreme height",3,1.7e-05,2.71284627098009e-06
"16",2,"mean cell volume",15,0.000186,5.33591913705845e-06
"17",2,"red blood cell count",15,0.0007397,2.27848763185567e-05
"18",2,"ulcerative colitis",25,5.35e-10,2.37188196105223e-05
"19",4,"crohns disease",3,0.002432,4.90137740208085e-05
"20",7,"body mass index",4,0.0004653,5.97718335744616e-05
"21",5,"eczema",4,1.6e-06,0.000115745699074771
"22",140,"amyotrophic lateral sclerosis",3,1.85291853898276e-05,0.000195626061041058
"23",2,"years of schooling",25,2.475e-06,0.000202894232653982
"24",26,"inflammatory bowel disease",3,3.393e-05,0.000251570015021831
"25",11,"rheumatoid arthritis",3,9.4e-05,0.000252431157149982
"26",6,"myocardial infarction",5,3.22317346515914e-05,0.000317872587272916
"27",23,"height",3,0.00037,0.000326009182065385
"28",1,"height",5,4.9e-05,0.000459768621618146
"29",14,"height",3,0.0015,0.000601451956848488
"30",14,"alzheimers disease",3,0.0005847,0.000702685224238378
"31",1,"serum creatinine egfrcrea",4,0.0013,0.00093929175551516
"32",38,"bulimia nervosa",3,0.006805,0.000951119525073558
"33",1,"femoral neck bone mineral density",3,6.45e-05,0.00132637472346989
"34",14,"schizophrenia",4,4.62e-05,0.00138878208488902
"35",7,"overweight",4,3.6e-05,0.00139042177753353
"36",5,"coronary heart disease",4,1.14e-05,0.00140558460740122
"37",10,"urate",3,3.06743340989142e-05,0.00143636435963766
"38",7,"fasting insulin",4,0.00641,0.00172526260931879
