ID	Group	Name	Tissue	Type
E017	IMR90	IMR90 fetal lung fibroblasts Cell Line	LUNG	CellLine
E002	ESC	ES-WA7 Cells	ESC	PrimaryCulture
E008	ESC	H9 Cells	ESC	PrimaryCulture
E001	ESC	ES-I3 Cells	ESC	PrimaryCulture
E015	ESC	HUES6 Cells	ESC	PrimaryCulture
E014	ESC	HUES48 Cells	ESC	PrimaryCulture
E016	ESC	HUES64 Cells	ESC	PrimaryCulture
E003	ESC	H1 Cells	ESC	PrimaryCulture
E024	ESC	ES-UCSF4  Cells	ESC	PrimaryCulture
E020	iPSC	iPS-20b Cells	IPSC	PrimaryCulture
E019	iPSC	iPS-18 Cells	IPSC	PrimaryCulture
E018	iPSC	iPS-15b Cells	IPSC	PrimaryCulture
E021	iPSC	iPS DF 6.9 Cells	IPSC	PrimaryCulture
E022	iPSC	iPS DF 19.11 Cells	IPSC	PrimaryCulture
E007	ES-deriv	H1 Derived Neuronal Progenitor Cultured Cells	ESC_DERIVED	ESCDerived
E009	ES-deriv	H9 Derived Neuronal Progenitor Cultured Cells	ESC_DERIVED	ESCDerived
E010	ES-deriv	H9 Derived Neuron Cultured Cells	ESC_DERIVED	ESCDerived
E013	ES-deriv	hESC Derived CD56+ Mesoderm Cultured Cells	ESC_DERIVED	ESCDerived
E012	ES-deriv	hESC Derived CD56+ Ectoderm Cultured Cells	ESC_DERIVED	ESCDerived
E011	ES-deriv	hESC Derived CD184+ Endoderm Cultured Cells	ESC_DERIVED	ESCDerived
E004	ES-deriv	H1 BMP4 Derived Mesendoderm Cultured Cells	ESC_DERIVED	ESCDerived
E005	ES-deriv	H1 BMP4 Derived Trophoblast Cultured Cells	ESC_DERIVED	ESCDerived
E006	ES-deriv	H1 Derived Mesenchymal Stem Cells	ESC_DERIVED	ESCDerived
E062	Blood & T-cell	Primary mononuclear cells from peripheral blood	BLOOD	PrimaryCell
E034	Blood & T-cell	Primary T cells from peripheral blood	BLOOD	PrimaryCell
E045	Blood & T-cell	Primary T cells effector/memory enriched from peripheral blood	BLOOD	PrimaryCell
E033	Blood & T-cell	Primary T cells from cord blood	BLOOD	PrimaryCell
E044	Blood & T-cell	Primary T regulatory cells from peripheral blood	BLOOD	PrimaryCell
E043	Blood & T-cell	Primary T helper cells from peripheral blood	BLOOD	PrimaryCell
E039	Blood & T-cell	Primary T helper naive cells from peripheral blood	BLOOD	PrimaryCell
E041	Blood & T-cell	Primary T helper cells PMA-I stimulated	BLOOD	PrimaryCell
E042	Blood & T-cell	Primary T helper 17 cells PMA-I stimulated	BLOOD	PrimaryCell
E040	Blood & T-cell	Primary T helper memory cells from peripheral blood 1	BLOOD	PrimaryCell
E037	Blood & T-cell	Primary T helper memory cells from peripheral blood 2	BLOOD	PrimaryCell
E048	Blood & T-cell	Primary T CD8+ memory cells from peripheral blood	BLOOD	PrimaryCell
E038	Blood & T-cell	Primary T helper naive cells from peripheral blood	BLOOD	PrimaryCell
E047	Blood & T-cell	Primary T CD8+ naive cells from peripheral blood	BLOOD	PrimaryCell
E029	HSC & B-cell	Primary monocytes from peripheral blood	BLOOD	PrimaryCell
E031	HSC & B-cell	Primary B cells from cord blood	BLOOD	PrimaryCell
E035	HSC & B-cell	Primary hematopoietic stem cells	BLOOD	PrimaryCell
E051	HSC & B-cell	Primary hematopoietic stem cells G-CSF-mobilized Male	BLOOD	PrimaryCell
E050	HSC & B-cell	Primary hematopoietic stem cells G-CSF-mobilized Female	BLOOD	PrimaryCell
E036	HSC & B-cell	Primary hematopoietic stem cells short term culture	BLOOD	PrimaryCell
E032	HSC & B-cell	Primary B cells from peripheral blood	BLOOD	PrimaryCell
E046	HSC & B-cell	Primary Natural Killer cells from peripheral blood	BLOOD	PrimaryCell
E030	HSC & B-cell	Primary neutrophils from peripheral blood	BLOOD	PrimaryCell
E026	Mesench	Bone Marrow Derived Cultured Mesenchymal Stem Cells	STROMAL_CONNECTIVE	PrimaryCulture
E049	Mesench	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	STROMAL_CONNECTIVE	PrimaryCulture
E025	Mesench	Adipose Derived Mesenchymal Stem Cell Cultured Cells	FAT	PrimaryCulture
E023	Mesench	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	FAT	PrimaryCulture
E052	Myosat	Muscle Satellite Cultured Cells	MUSCLE	PrimaryCulture
E055	Epithelial	Foreskin Fibroblast Primary Cells skin01	SKIN	PrimaryCulture
E056	Epithelial	Foreskin Fibroblast Primary Cells skin02	SKIN	PrimaryCulture
E059	Epithelial	Foreskin Melanocyte Primary Cells skin01	SKIN	PrimaryCulture
E061	Epithelial	Foreskin Melanocyte Primary Cells skin03	SKIN	PrimaryCulture
E057	Epithelial	Foreskin Keratinocyte Primary Cells skin02	SKIN	PrimaryCulture
E058	Epithelial	Foreskin Keratinocyte Primary Cells skin03	SKIN	PrimaryCulture
E028	Epithelial	Breast variant Human Mammary Epithelial Cells (vHMEC)	BREAST	PrimaryCulture
E027	Epithelial	Breast Myoepithelial Primary Cells	BREAST	PrimaryCell
E054	Neurosph	Ganglion Eminence derived primary cultured neurospheres	BRAIN	PrimaryCulture
E053	Neurosph	Cortex derived primary cultured neurospheres	BRAIN	PrimaryCulture
E112	Thymus	Thymus	THYMUS	PrimaryTissue
E093	Thymus	Fetal Thymus	THYMUS	PrimaryTissue
E071	Brain	Brain Hippocampus Middle	BRAIN	PrimaryTissue
E074	Brain	Brain Substantia Nigra	BRAIN	PrimaryTissue
E068	Brain	Brain Anterior Caudate	BRAIN	PrimaryTissue
