Category	N assoc blood	N assoc Adipose	Rb Adipose	N assoc brain	Rb Brain	adipose_blood_ratio	brain_blood_ratio
cis any	170357	140092	0.73 (0.002)	108839	0.59 (0.003)	0.82	0.64
cis only	159702	131099	0.73 (0.002)	101866	0.59 (0.004)	0.82	0.64
cis only_hyper	50367	40793	0.63 (0.005)	32041	0.62 (0.006)	0.81	0.64
cis only_hypo	43506	35890	0.76 (0.004)	27988	0.63 (0.006)	0.82	0.64
cis only_intermediate	65829	54416	0.78 (0.003)	41837	0.57 (0.006)	0.83	0.64
cis+trans_cis	10655	8993	0.79 (0.008)	6973	0.58 (0.014)	0.84	0.65
cis+trans_cis_hyper	1298	1089	0.69 (0.031)	799	0.64 (0.047)	0.84	0.62
cis+trans_cis_hypo	2266	1936	0.81 (0.015)	1463	0.67 (0.023)	0.85	0.65
cis+trans_cis_intermediate	7091	5968	0.81 (0.008)	4711	0.55 (0.018)	0.84	0.66
cis+trans_trans	10655	9405	0.83 (0.007)	6521	0.64 (0.019)	0.88	0.61
cis+trans_trans_hyper	1298	1109	0.81 (0.017)	762	0.73 (0.038)	0.85	0.59
cis+trans_trans_hypo	2266	1958	0.85 (0.014)	1439	0.71 (0.029)	0.86	0.64
cis+trans_trans_intermediate	7091	6338	0.84 (0.01)	4320	0.58 (0.027)	0.89	0.61
trans any	18582	15921	0.87 (0.004)	11478	0.77 (0.01)	0.86	0.62
trans only	7927	6516	0.91 (0.004)	4957	0.86 (0.01)	0.82	0.63
trans only_hyper	1352	1128	0.89 (0.012)	805	0.87 (0.03)	0.83	0.6
trans only_hypo	4155	3324	0.93 (0.005)	2721	0.9 (0.011)	0.8	0.65
trans only_intermediate	2420	2064	0.89 (0.008)	1431	0.74 (0.026)	0.85	0.59
