Name,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,P-value (Current vs. Never),FDR (Current vs. Never),Dose Response
cg16145216,I,1,"42,385,662",R,HIVEP3,2.3E-05,3.4E-06,6.77,1.3E-11,3.3E-10,6.70E-48,3.3E-42,1
cg19406367,II,1,"66,999,929",R,SGIP1,1.7E-05,3.0E-06,5.71,1.1E-08,1.4E-07,7.04E-44,1.7E-38,1
cg05603985,II,1,"2,161,049",F,SKI,-1.1E-05,1.5E-06,-7.25,4.1E-13,1.4E-11,1.76E-43,2.8E-38,1
cg14099685,II,11,"47,546,068",R,CUGBP1,-1.2E-05,1.6E-06,-7.63,2.4E-14,9.9E-13,1.48E-42,1.8E-37,1
cg12513616,II,5,"177,370,977",F,,-2.6E-05,2.1E-06,-12.50,7.1E-36,1.9E-33,6.09E-41,5.9E-36,1
cg03792876,II,16,"73,243",R,,-1.8E-05,2.8E-06,-6.51,7.5E-11,1.6E-09,7.23E-38,5.9E-33,1
cg01097768,II,5,"378,854",R,AHRR,-1.4E-05,1.6E-06,-9.06,1.4E-19,1.1E-17,6.77E-35,4.7E-30,1
cg26856289,II,1,"24,307,516",F,SFRS13A,-9.9E-06,2.0E-06,-4.90,9.7E-07,7.5E-06,8.57E-35,5.2E-30,1
cg07954423,II,9,"130,741,881",F,FAM102A,-1.0E-05,1.7E-06,-6.08,1.2E-09,2.0E-08,1.17E-34,6.3E-30,1
cg01940273,II,2,"233,284,934",R,,-8.8E-05,2.9E-06,-30.73,2.4E-207,8.9E-204,2.03E-34,9.8E-30,1
cg01083131,II,16,"67,877,413",F,THAP11;CENPT,-1.8E-05,2.7E-06,-6.67,2.6E-11,6.1E-10,3.68E-34,1.6E-29,1
cg01017464,II,18,"47,018,095",R,SNORD58A;SNORD58B;RPL17,-1.3E-05,2.0E-06,-6.72,1.8E-11,4.3E-10,1.88E-33,7.6E-29,1
cg06121808,II,2,"113,404,678",F,SLC20A1,-1.6E-05,2.3E-06,-7.04,1.9E-12,5.8E-11,2.12E-32,7.9E-28,1
cg10062919,II,17,"38,503,802",F,RARA,-1.3E-05,1.2E-06,-10.77,4.9E-27,8.0E-25,9.22E-32,3.2E-27,1
cg20066188,II,22,"37,678,791",F,CYTH4,-1.7E-05,2.9E-06,-6.07,1.3E-09,2.1E-08,1.60E-31,5.2E-27,1
cg04551776,II,5,"393,366",F,AHRR,-2.6E-05,1.6E-06,-16.33,6.3E-60,3.3E-57,5.77E-31,1.8E-26,1
cg11152412,II,15,"74,927,688",F,EDC3,-6.1E-06,1.0E-06,-6.11,1.0E-09,1.7E-08,1.75E-30,5.0E-26,1
cg00073090,II,19,"1,265,879",F,,-2.2E-05,1.5E-06,-14.64,1.5E-48,5.9E-46,4.25E-30,1.1E-25,1
cg11902777,II,5,"368,843",F,AHRR,-1.8E-05,1.4E-06,-12.40,2.7E-35,7.0E-33,9.15E-30,2.3E-25,1
cg25212453,I,17,"1,509,953",F,SLC43A2,-6.4E-06,1.6E-06,-4.00,6.4E-05,2.8E-04,1.45E-29,3.5E-25,1
cg04956244,II,17,"38,511,592",F,RARA,1.2E-05,1.4E-06,8.58,9.3E-18,6.2E-16,1.52E-29,3.5E-25,1
cg13951797,II,16,"2,204,381",R,TRAF7,-2.1E-05,2.5E-06,-8.26,1.4E-16,8.3E-15,1.58E-29,3.5E-25,1
cg11028075,II,10,"97,200,911",F,SORBS1,1.3E-05,2.9E-06,4.68,2.8E-06,1.9E-05,1.71E-29,3.6E-25,1
cg11700584,II,14,"50,088,544",F,RPL36AL;MGAT2,-2.0E-05,2.7E-06,-7.27,3.6E-13,1.2E-11,3.38E-29,6.8E-25,1
cg11263997,I,11,"70,257,280",F,CTTN,3.9E-06,9.1E-07,4.34,1.4E-05,7.8E-05,4.34E-29,8.4E-25,1
cg08972170,II,7,"30,185,776",R,C7orf41,1.8E-05,2.9E-06,6.36,2.0E-10,4.0E-09,9.79E-29,1.8E-24,1
cg09578155,II,11,"68,141,470",R,LRP5,-7.2E-06,1.4E-06,-5.01,5.5E-07,4.6E-06,1.15E-28,2.1E-24,1
cg22417733,II,6,"153,303,409",R,FBXO5,-1.9E-05,2.7E-06,-6.87,6.3E-12,1.7E-10,1.54E-28,2.7E-24,1
cg26764244,II,1,"68,299,511",F,GNG12,-3.0E-05,2.8E-06,-10.97,5.3E-28,9.0E-26,1.77E-28,3.0E-24,1
cg26077378,II,3,"21,792,857",F,ZNF385D,-8.8E-06,2.7E-06,-3.24,0.0012,0.0034,3.57E-28,5.8E-24,1
cg05951221,II,2,"233,284,402",F,,-1.0E-04,3.1E-06,-32.78,1.3E-235,6.2E-232,4.35E-27,6.8E-23,1
cg22407942,II,7,"22,894,828",F,SNORD93,-2.1E-05,2.7E-06,-7.74,9.9E-15,4.3E-13,6.82E-27,1.0E-22,1
