Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Unit	Exposure_Unit	Array	Tissue	N	N_Studies	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH	CpG	Location	Gene	Type	Beta	SE	P	Details
Monick MM		22232023	2012-01-09	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking	Table 2	DNA methylation	Smoking	Technical covariates	Beta values		Illumina HumanMethylation450	Lymphoblasts	119	1	39 current smokers, 80 non-smokers	45		119	119						cg14817490	chr5:392920	AHRR	Open sea			2.71e-08	
Philibert RA		23070629	2012-10-15	Smoking	EFO_0004318, EFO_0006527, EFO_0005671, EFO_0006526	Males only	Table 2	DNA methylation	Smoking	Technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	181	1		19	181								cg05575921	chr5:373378	AHRR	North shore			5.65e-13	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg05575921	chr5:373378	AHRR	North shore			4.31e-15	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg05951221	chr2:233284402		Island			3.04e-13	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg21566642	chr2:233284661		Island			6.41e-13	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg06126421	chr6:30720080		Open sea			7.09e-11	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg03636183	chr19:17000585	F2RL3	North shore			1.62e-10	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg01940273	chr2:233284934		Island			2.38e-10	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Breast cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	184	1	94 never smokers, 33 former smokers, 47 current smokers	50.5		184	184						cg21161138	chr5:399360	AHRR	Open sea			8.6e-08	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Colon cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	190	1	66 never smokers, 67 former smokers, 44 current smokers	55	136	54	190						cg05575921	chr5:373378	AHRR	North shore			1.86e-09	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Colon cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	190	1	66 never smokers, 67 former smokers, 44 current smokers	55	136	54	190						cg01940273	chr2:233284934		Island			5.87e-09	
Shenker NS		23175441	2013-03-01	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Colon cancer cohort	Table S3	DNA methylation	Smoking	Age, case-control status and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood	190	1	66 never smokers, 67 former smokers, 44 current smokers	55	136	54	190						cg21566642	chr2:233284661		Island			4.81e-08	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg11405655	chr1:999599		North shore			1.6e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg14531564	chr1:1154853	SDF4	South shore			2.83e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg09276842	chr1:1155026	SDF4	South shore			5.18e-09	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg05818515	chr1:1158081	SDF4	North shore			8.95e-10	
Zeilinger S		23691101	2013-05-17	Smoking	EFO_0006527, EFO_0005671, EFO_0004318	Current vs never smoking discovery	Table S1	DNA methylation	Smoking	Age, sex, body mass index, alcohol consumption and cell counts	M values		Illumina HumanMethylation450	Whole blood	1011	1	262 current smokers, 749 never smokers	60.8	401	610	1011						cg27528222	chr1:2138953	C1orf86	South shore			1.41e-09	
